Location, Size, Price, Mortgage (Monthly)
361 Gurdon St Brooklawn/ St. Vincent's  Bridgeport  CT,1 898 sqft,$315000,1566
524 Beechmont Ave North End  Bridgeport  CT,1 104 sqft,$315000,1566
35 Hollywood Ave Resevoir  Bridgeport  CT,1 600 sqft,$319000,1585
84 Lorraine Ter Brooklawn/ St. Vincent's  Bridgeport  CT,1 802 sqft,$319000,1585
84 Lorraine Ter Brooklawn/ St. Vincent's  Bridgeport  CT,1 802 sqft,$319000,1585
35 Hollywood Ave Resevoir  Bridgeport  CT,1 600 sqft,$319000,1585
35 Hollywood Ave Resevoir  Bridgeport  CT,1 600 sqft,$319000,1585
638 Thorme St North End  Bridgeport  CT,1 768 sqft,$319900,1589
638 Thorme St North End  Bridgeport  CT,1 768 sqft,$319900,1589
39 Woodmont Ave North End  Bridgeport  CT,1 488 sqft,$320000,1590
583 Vincellette St #583 North End  Bridgeport  CT,1 082 sqft,$250000,1604
425 Seltsam Rd Resevoir  Bridgeport  CT,1 926 sqft,$324900,1613
589 Beechwood Ave West Side/ West End  Bridgeport  CT,3 460 sqft,$325000,1613
1738 Stratford Ave East End  Bridgeport  CT,3 864 sqft,$325000,1613
197 Stillman St Bridgeport  CT,2 751 sqft,$325000,1613
96 6th St East End  Bridgeport  CT,5 506 sqft,$325000,1613
179 4th St East End  Bridgeport  CT,3 580 sqft,$325000,1613
179 4th St East End  Bridgeport  CT,3 580 sqft,$325000,1613
425 Seltsam Rd Resevoir  Bridgeport  CT,1 926 sqft,$324900,1613
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1 410 sqft,$245000,1618
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1 410 sqft,$245000,1618
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1 410 sqft,$245000,1618
43 Burr Ct Black Rock  Bridgeport  CT,1 647 sqft,$329000,1632
69 Weber Ave Mill Hill  Bridgeport  CT,1 202 sqft,$329900,1636
69 Weber Ave Mill Hill  Bridgeport  CT,1 202 sqft,$329900,1636
1855 Chopsey Hill Rd North End  Bridgeport  CT,1 152 sqft,$330000,1637
278 Vincellette St North End  Bridgeport  CT,1 260 sqft,$330000,1637
1051 Maplewood Ave West Side/ West End  Bridgeport  CT,2 986 sqft,$330000,1637
168 Savoy St North End  Bridgeport  CT,2 385 sqft,$330000,1637
495 Merritt St North End  Bridgeport  CT,1 264 sqft,$330000,1637
1855 Chopsey Hill Rd North End  Bridgeport  CT,1 152 sqft,$330000,1637
1855 Chopsey Hill Rd North End  Bridgeport  CT,1 152 sqft,$330000,1637
58 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 526 sqft,$334900,1660
180 Pope St Fairfield  CT,1 075 sqft,$335000,1660
58 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 526 sqft,$334900,1660
295 Pequonnock St Hollow  Bridgeport  CT,2 868 sqft,$335500,1663
157 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 168 sqft,$339000,1680
1343 Fairfield Ave West Side/ West End  Bridgeport  CT,4 167 sqft,$340000,1685
210 Stratfield Pl North End  Bridgeport  CT,1 605 sqft,$340000,1685
85 Albemarle St North End  Bridgeport  CT,2 286 sqft,$345000,1708
95 Edgewood St Stratford  CT,2 407 sqft,$345000,1708
85 Albemarle St North End  Bridgeport  CT,2 286 sqft,$345000,1708
85 Albemarle St North End  Bridgeport  CT,2 286 sqft,$345000,1708
619 Jewett Ave North End  Bridgeport  CT,1 267 sqft,$349000,1727
1162 Noble Ave Bridgeport  CT,2 625 sqft,$349000,1727
53 Fremont St West Side/ West End  Bridgeport  CT,3 749 sqft,$349000,1727
1162 Noble Ave Bridgeport  CT,2 625 sqft,$349000,1727
78 Manhattan Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 337 sqft,$349500,1729
35 Jillijam Pl North End  Bridgeport  CT,1 532 sqft,$349900,1732
495 Silver St Bridgeport  CT,1 404 sqft,$349900,1732
75 Pavlik Pl Bridgeport  CT,1 196 sqft,$349900,1732
908 Pearl Harbor St Mill Hill  Bridgeport  CT,1 700 sqft,$349900,1732
Address Not Disclosed Bridgeport  CT,2 328 sqft,$349900,1732
584 Kossuth St Bridgeport  CT,2 716 sqft,$349900,1732
Address Not Disclosed Bridgeport  CT,2 328 sqft,$349900,1732
535 Park St Bridgeport  CT,2 938 sqft,$350000,1732
708 Noble Ave Bridgeport  CT,2 840 sqft,$350000,1732
117 Lewis St West Side/ West End  Bridgeport  CT,784 sqft,$350000,1732
247 Olive St Hollow  Bridgeport  CT,2 528 sqft,$349900,1732
2056 Main St Hollow  Bridgeport  CT,3 391 sqft,$349900,1732
247 Olive St Hollow  Bridgeport  CT,2 528 sqft,$349900,1732
35 Jillijam Pl North End  Bridgeport  CT,1 532 sqft,$349900,1732
35 Jillijam Pl North End  Bridgeport  CT,1 532 sqft,$349900,1732
310 Castle Dr Stratford  CT,1 379 sqft,$355000,1756
15 Briarfield Dr Stratford  CT,1 549 sqft,$358500,1772
63 Laurel Ave West Side/ West End  Bridgeport  CT,3 996 sqft,$359900,1779
54 Asylum St Bridgeport  CT,1 792 sqft,$360000,1779
44 Wade St Brooklawn/ St. Vincent's  Bridgeport  CT,1 992 sqft,$360000,1779
53 Laurel Ave West Side/ West End  Bridgeport  CT,3 924 sqft,$359900,1779
63 Laurel Ave West Side/ West End  Bridgeport  CT,3 996 sqft,$359900,1779
54 Asylum St Bridgeport  CT,1 792 sqft,$360000,1779
44 Wade St Brooklawn/ St. Vincent's  Bridgeport  CT,1 992 sqft,$360000,1779
1421 Kossuth St Bridgeport  CT,2 783 sqft,$359900,1779
474 Merritt St North End  Bridgeport  CT,1 650 sqft,$359900,1779
93 Oxford St North End  Bridgeport  CT,1 836 sqft,$359888,1779
550 Amsterdam Ave North End  Bridgeport  CT,1 492 sqft,$364000,1798
29 Jetland Pl Black Rock  Bridgeport  CT,1 584 sqft,$365000,1803
39 Moffitt St Resevoir  Bridgeport  CT,2 624 sqft,$365000,1803
407 Benham Ave Hollow  Bridgeport  CT,2 652 sqft,$369000,1822
243 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 240 sqft,$369500,1824
577 Birmingham St North End  Bridgeport  CT,1 480 sqft,$369900,1826
124 Bronx Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 312 sqft,$369900,1826
577 Birmingham St North End  Bridgeport  CT,1 480 sqft,$369900,1826
124 Bronx Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 312 sqft,$369900,1826
577 Birmingham St North End  Bridgeport  CT,1 480 sqft,$369900,1826
124 Bronx Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 312 sqft,$369900,1826
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2 289 sqft,$269000,1828
