Location, Size, Price, Mortgage (Monthly), , , Listing Link
679 Shelton St Bridgeport  CT,2 400 sqft,$249900,1258,,,https://www.trulia.com/p/ct/bridgeport/679-shelton-st-bridgeport-ct-06608--2005445584
95 Austin St South End  Bridgeport  CT,1 284 sqft,$249900,1258,,,https://www.trulia.com/p/ct/bridgeport/95-austin-st-bridgeport-ct-06604--2005419622
325 Lafayette St #5202 South End  Bridgeport  CT,1 050 sqft,$169000,1265,,,https://www.trulia.com/p/ct/bridgeport/325-lafayette-st-5202-bridgeport-ct-06604--2005416986
325 Lafayette St #5202 South End  Bridgeport  CT,1 050 sqft,$169000,1265,,,https://www.trulia.com/p/ct/bridgeport/325-lafayette-st-5202-bridgeport-ct-06604--2005416986
548 Queen St North End  Bridgeport  CT,1 116 sqft,$254999,1282,,,https://www.trulia.com/p/ct/bridgeport/548-queen-st-bridgeport-ct-06606--2005436961
548 Queen St North End  Bridgeport  CT,1 116 sqft,$254999,1282,,,https://www.trulia.com/p/ct/bridgeport/548-queen-st-bridgeport-ct-06606--2005436961
470 Ezra St North End  Bridgeport  CT,1 094 sqft,$259000,1301,,,https://www.trulia.com/p/ct/bridgeport/470-ezra-st-bridgeport-ct-06606--2005436011
506 Burnsford Ave North End  Bridgeport  CT,1 296 sqft,$259000,1301,,,https://www.trulia.com/p/ct/bridgeport/506-burnsford-ave-bridgeport-ct-06606--2005436456
486 Woodlawn Avenue Ext Resevoir  Bridgeport  CT,1 536 sqft,$259900,1305,,,https://www.trulia.com/p/ct/bridgeport/486-woodlawn-avenue-ext-bridgeport-ct-06606--2005436186
95 Wake St Mill Hill  Bridgeport  CT,1 646 sqft,$259900,1305,,,https://www.trulia.com/p/ct/bridgeport/95-wake-st-bridgeport-ct-06610--2124900117
46 Abner Ct #46 North End  Bridgeport  CT,1 305 sqft,$174900,1316,,,https://www.trulia.com/p/ct/bridgeport/46-abner-ct-46-bridgeport-ct-06606--2190890211
25 Lakeside Dr North End  Bridgeport  CT,1 528 sqft,$265000,1330,,,https://www.trulia.com/p/ct/bridgeport/25-lakeside-dr-bridgeport-ct-06606--2005431369
316 Benham Ave Hollow  Bridgeport  CT,2 178 sqft,$265000,1330,,,https://www.trulia.com/p/ct/bridgeport/316-benham-ave-bridgeport-ct-06604--2005416708
25 Lakeside Dr North End  Bridgeport  CT,1 528 sqft,$265000,1330,,,https://www.trulia.com/p/ct/bridgeport/25-lakeside-dr-bridgeport-ct-06606--2005431369
1011 Stratford Ave #1 East End  Bridgeport  CT,1 308 sqft,$240000,1336,,,https://www.trulia.com/p/ct/bridgeport/1011-stratford-ave-1-bridgeport-ct-06607--2005440669
1011 Stratford Ave #1 East End  Bridgeport  CT,1 308 sqft,$240000,1336,,,https://www.trulia.com/p/ct/bridgeport/1011-stratford-ave-1-bridgeport-ct-06607--2005440669
206 Cottage St West Side/ West End  Bridgeport  CT,1 841 sqft,$269000,1348,,,https://www.trulia.com/p/ct/bridgeport/206-cottage-st-bridgeport-ct-06605--1006355855
226 Houston Ave Resevoir  Bridgeport  CT,1 152 sqft,$269900,1353,,,https://www.trulia.com/p/ct/bridgeport/226-houston-ave-bridgeport-ct-06606--2005430552
464 Hollister Ave East End  Bridgeport  CT,3 176 sqft,$270000,1353,,,https://www.trulia.com/p/ct/bridgeport/464-hollister-ave-bridgeport-ct-06607--2005442504
